stationID	year	month	day	hour	temperature	relativeHumidity
Nakuru	2015	1	30	4	13	63
Nakuru	2015	1	30	5	15	59
Nakuru	2015	1	30	6	18	38
Nakuru	2015	1	30	7	22	41
Nakuru	2015	1	30	8	25	24
Nakuru	2015	1	30	9	26	12
Nakuru	2015	1	30	10	27	17
Nakuru	2015	1	30	11	28	17
Nakuru	2015	1	30	12	27	14
Nakuru	2015	1	30	13	27	17
Nakuru	2015	1	30	14	27	23
Nakuru	2015	1	30	15	26	10
Nakuru	2015	1	30	16	24	25
Nakuru	2015	1	30	17	22	31
Nakuru	2015	1	30	18	21	20
Nakuru	2015	1	30	19	21	35
Nakuru	2015	1	30	20	19	43
Nakuru	2015	1	30	21	18	30
Nakuru	2015	1	30	22	18	42
Nakuru	2015	1	30	23	15	48
Nakuru	2015	1	31	0	14	34
Nakuru	2015	1	31	1	13	47
Nakuru	2015	1	31	2	12	58
Nakuru	2015	1	31	3	10	57
